session_length,features,label
3,product_view random item general category_view coffee  beverages search espresso vs americano,coffee_interest
5,search best arabica coffee search coffee near me search espresso vs americano product_view latte blend 500g coffee product_view french press 1l coffee,coffee_interest
5,signup_complete google category_view new user deals search how to get started signup_complete email search how to get started,signup_intent
5,category_view summer dresses add_to_cart linen blazer 850.0 product_view random item general category_view streetwear category_view summer dresses,fashion_interest
2,search summer fashion trends product_view air max 2026 mens shoes,fashion_interest
2,remove_from_cart p 101 product_view sony headphones electronics,abandoned_cart
3,product_view linen blazer clothing category_view mens shoes category_view luxury watches,fashion_interest
3,add_to_cart latte blend 500g 120.0 product_view espresso machine appliances product_view ethiopian yirgacheffe coffee,coffee_interest
5,search crypto trading ethiopia product_view random item general product_view trezor model t crypto hardware category_view blockchain  crypto product_view trezor model t crypto hardware,crypto_interest
3,search what is defi search best crypto wallet 2026 category_view web3 tools,crypto_interest
4,category_view defi products category_view blockchain  crypto search best crypto wallet 2026 search bitcoin price today,crypto_interest
2,category_view luxury watches add_to_cart linen blazer 850.0,fashion_interest
3,product_view linen blazer clothing category_view womens bags add_to_cart linen blazer 850.0,fashion_interest
3,category_view luxury watches product_view gold chronograph luxury watches category_view luxury watches,fashion_interest
5,signup_complete phone search new user offers signup_complete email product_view welcome bundle offers search how to get started,signup_intent
3,category_view blockchain  crypto search what is defi search bitcoin price today,crypto_interest
4,checkout_started 3200.0 1 product_view sony headphones electronics add_to_cart p 101 sony headphones 3200.0 remove_from_cart p 202,abandoned_cart
5,search how to get started signup_complete phone product_view random item general signup_complete phone signup_complete google,signup_intent
2,category_view defi products search best crypto wallet 2026,crypto_interest
3,signup_complete google search how to get started product_view welcome bundle offers,signup_intent
3,category_view new user deals category_view electronics product_view welcome bundle offers,signup_intent
3,search best crypto wallet 2026 product_view ledger nano wallet crypto hardware category_view home  garden,crypto_interest
3,search coffee near me product_view ethiopian yirgacheffe coffee product_view french press 1l coffee,coffee_interest
5,search new user offers search new user offers search how to get started category_view new user deals category_view new user deals,signup_intent
5,search luxury watches ethiopia category_view womens bags category_view luxury watches category_view mens shoes category_view mens shoes,fashion_interest
4,category_view electronics signup_complete email category_view new user deals signup_complete email,signup_intent
3,search where to buy coffee beans product_view ethiopian yirgacheffe coffee product_view french press 1l coffee,coffee_interest
5,signup_complete google product_view welcome bundle offers signup_complete phone signup_complete email category_view new user deals,signup_intent
5,product_view sony headphones electronics add_to_cart p 101 sony headphones 3200.0 remove_from_cart p 202 remove_from_cart p 202 add_to_cart p 101 sony headphones 3200.0,abandoned_cart
4,search espresso vs americano product_view french press 1l coffee search coffee near me search trending products,coffee_interest
6,search trending products category_view cafe equipment add_to_cart latte blend 500g 120.0 search coffee near me product_view latte blend 500g coffee product_view french press 1l coffee,coffee_interest
5,search what is defi search best crypto wallet 2026 search what is defi search bitcoin price today search crypto trading ethiopia,crypto_interest
5,category_view streetwear product_view linen blazer clothing search summer fashion trends search summer fashion trends product_view linen blazer clothing,fashion_interest
4,search best crypto wallet 2026 search bitcoin price today category_view blockchain  crypto search bitcoin price today,crypto_interest
